nSeg,nSegNum,CV,realCV,targetMean,realMean,Density,realDensity,L,numL,gurobiMinMax,greedyMinMax,greedyT1,greedyT2,improvedMinMax,improvedT1,improvedT2,errorGreedyAbs,errorGreedy,errorImprovedAbs,errorImproved,kGreedy,kImproved,timeGreedy,timeImproved,timeGurobi
0,3,1,0.6756547733430074,82.06085620114476,83.38,1,0.78,2,1354,1278.317804361564,1291.2663181057285,1,1,1291.2663181057285,1,1,12.94851374416453,0.0101293384946879,12.94851374416453,0.0101293384946879,1.010129338494688,1.010129338494688,0.0008005797863005,0.0008004456758498,107.72267734259368
0,6,1,0.6564179289814285,84.42717700816864,78.72,1,0.882,2,1587,1302.1414335440963,1324.4493290223718,1,1,1324.4493290223718,1,1,22.30789547827544,0.0171316992944146,22.30789547827544,0.0171316992944146,1.0171316992944146,1.0171316992944146,0.0014876276254653,0.0014958307147025,209.4131320267916
0,6,1,0.626374443366672,66.02435672694514,73.44,1,0.884,2,1481,1302.5954962686642,1307.570496893633,1,1,1307.570496893633,1,1,4.975000624968743,0.0038192981928924,4.975000624968743,0.0038192981928924,1.0038192981928924,1.0038192981928924,0.0008974745869635,0.0009068101644515,180.24156612157824
0,7,1,0.668763845937066,82.8281212836071,83.4,1,0.972,2,1294,2307.0993535036555,2320.346288082187,1,2,2307.151326482135,2,2,13.246934578531636,0.0057418136580959,0.0519729784796254,2.2527412354694288e-05,1.005741813658096,1.0000225274123546,0.0019456893205642,0.0020414292812347,1774.2800758853557
1,34,1,0.8548306815137594,12.576745747630929,12.08,1,0.808,2,1372,1305.682808918746,1348.442708153634,1,1,1348.442708153634,1,1,42.75989923488783,0.0327490711701243,42.75989923488783,0.0327490711701243,1.0327490711701244,1.0327490711701244,0.0110231339931487,0.0110250264406204,170.33167655020952
0,6,1,0.6904343373280096,76.52675903740707,80.66,1,0.696,2,1525,1280.800977571192,1345.8714304939224,1,1,1345.8714304939224,1,1,65.07045292273028,0.0508044997327568,65.07045292273028,0.0508044997327568,1.0508044997327568,1.0508044997327568,0.0010064691305159,0.0010129809379576,96.46584860980512
1,14,1,0.5857259134433207,22.95309311161112,28.8,1,0.808,2,1541,1303.239625295976,1319.495559793509,1,1,1319.495559793509,1,1,16.255934497532962,0.0124734808411316,16.255934497532962,0.0124734808411316,1.0124734808411318,1.0124734808411318,0.0031062513589858,0.0031115263700484,148.9145081564784
1,10,1,0.6935885888842426,42.310178849951946,43.32,1,0.838,2,1513,1290.002750524637,1309.0217470865734,1,1,1309.0217470865734,1,1,19.018996561936547,0.0147433767518725,19.018996561936547,0.0147433767518725,1.0147433767518723,1.0147433767518723,0.0021478533744811,0.0021436661481857,174.06898238509893
1,16,1,0.7700406801047446,25.76868379212904,24.92,1,0.804,2,1461,1301.2436252799764,1354.7229106234258,1,1,1354.7229106234258,1,1,53.47928534344942,0.0410985954547464,53.47928534344942,0.0410985954547464,1.0410985954547465,1.0410985954547465,0.0052329897880554,0.0052425041794776,166.28561854362488
0,3,1,0.822044146194448,94.9222047176043,94.88,1,0.87,2,1457,1287.8728988995108,1379.805933353754,1,1,1379.805933353754,1,1,91.93303445424316,0.0713836237510705,91.93303445424316,0.0713836237510705,1.0713836237510703,1.0713836237510703,0.0007323548197745,0.0007396489381789,236.1314214617014
0,9,1,0.6607040916996865,38.02471966839184,48.14,1,0.81,2,1509,1298.363595928925,1340.8782895147656,1,1,1340.8782895147656,1,1,42.51469358584063,0.0327448287360699,42.51469358584063,0.0327448287360699,1.03274482873607,1.03274482873607,0.0016820728778838,0.0016916245222091,158.8215625807643
1,14,1,0.6792067081647101,28.21339094269045,26.92,1,0.88,2,1329,1303.5864966376412,1307.570496893633,1,1,1307.570496893633,1,1,3.9840002559917593,0.0030561840478309,3.9840002559917593,0.0030561840478309,1.003056184047831,1.003056184047831,0.0035463422536849,0.0035596564412116,173.28473748266697
1,14,1,0.7896562726670601,31.80467976605601,28.86,1,0.93,2,1359,1307.570496893633,1337.410790799784,1,1,1337.410790799784,1,1,29.840293906151143,0.0228211740606277,29.840293906151143,0.0228211740606277,1.0228211740606277,1.0228211740606277,0.0031604170799254,0.0031682029366492,193.91219429671764
0,7,1,0.6585363337421251,51.778257105022405,57.22,1,0.858,2,1442,1297.978814018151,1357.5206966469214,1,1,1357.5206966469214,1,1,59.54188262877028,0.0458727692514846,59.54188262877028,0.0458727692514846,1.0458727692514846,1.0458727692514846,0.0012809485197066,0.0012858510017394,247.25855447351933
0,5,1,0.6882108890620805,75.18742470603024,73.42,1,0.81,2,1515,1275.6583135485582,1292.7954462914013,1,1,1292.7954462914013,1,1,17.13713274284305,0.0134339521491236,17.13713274284305,0.0134339521491236,1.0134339521491236,1.0134339521491236,0.0010681748390197,0.0011208951473235,144.10201985388994
0,4,1,0.683439579007882,98.149557282156,97.48,1,0.932,2,1467,1297.730806389108,1360.6625903429472,1,1,1360.6625903429472,1,1,62.93178395383916,0.0484937119809498,62.93178395383916,0.0484937119809498,1.04849371198095,1.04849371198095,0.0010967031121253,0.0011064931750297,218.288545191288
1,16,1,0.5880626903997563,25.44590345467313,26.7,1,0.854,2,1553,1303.3685958639262,1334.44741259985,1,1,1334.44741259985,1,1,31.078816735923738,0.023844994297506,31.078816735923738,0.023844994297506,1.023844994297506,1.023844994297506,0.0038783773779868,0.0038848221302032,183.34029882401228
1,16,1,0.5812229928723538,41.23966249869278,39.56,1,0.838,2,1381,1300.3595959449249,1332.6980779478672,1,1,1332.6980779478672,1,1,32.33848200294233,0.0248688763506552,32.33848200294233,0.0248688763506552,1.0248688763506553,1.0248688763506553,0.0028872564435005,0.0028936564922332,170.13360968232155
1,22,1,0.7040889301628102,18.754878754235,20.3,1,0.802,2,1459,1301.9307570035753,1301.9307570035753,1,1,1301.9307570035753,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0056501626968383,0.0056554898619651,146.24119184166193
0,2,1,0.6174815610328277,95.22472728579385,110.8,1,0.658,2,1529,1239.5038100331856,1476.4026235345032,0,1,1239.503810157236,1,1,236.8988135013176,0.1911239090866328,1.2405052984831857e-07,1.0008079752897031e-10,1.1911239090866328,1.0000000001000808,0.0005833059549331,0.000660628080368,105.85227999836206
0,6,1,0.7811156528710412,63.527268242906594,60.3,1,0.874,2,1517,1287.2375485802254,1293.4054797449237,1,1,1293.4054797449237,1,1,6.167931164698302,0.0047916028952863,6.167931164698302,0.0047916028952863,1.0047916028952864,1.0047916028952864,0.0009927302598952,0.0009992793202399,194.53828813135624
0,7,1,0.6517875077866738,34.85047139525212,42.32,1,0.882,2,1428,1296.4863733437892,1313.7413078423224,1,1,1313.7413078423224,1,1,17.254934498533203,0.013308997960411,17.254934498533203,0.013308997960411,1.013308997960411,1.013308997960411,0.0014741569757461,0.00148157030344,189.6277751103044
0,6,1,0.8354758223326372,95.77265336082807,102.46,1,0.91,2,1606,1306.5714967618758,1379.5580313743194,1,1,1379.5580313743194,1,1,72.98653461244362,0.0558611103895415,72.98653461244362,0.0558611103895415,1.0558611103895414,1.0558611103895414,0.0026560574769973,0.0026782229542731,220.34219140559435
1,29,1,0.5576449128935921,14.426277798373544,16.44,1,0.824,2,1295,2301.6475222206323,2320.362576364256,1,2,2302.0027065902486,2,2,18.715054143623547,0.0081311556017783,0.3551843696163814,0.0001543174470405,1.0081311556017782,1.0001543174470406,0.0100626498460769,0.0101487338542937,389.9699571803212
0,5,1,0.6969163966029968,88.2692797608595,85.02,1,0.96,2,1273,2304.729703824425,2336.024028547936,1,2,2304.729703824425,2,2,31.294324723510726,0.0135783058080873,0.0,0.0,1.0135783058080874,1.0,0.0010995939373969,0.0011702552437781,402.79261673241854
1,18,1,0.6358287815586008,17.82796670093455,18.24,1,0.812,2,1249,2295.40289450781,2342.003665881404,1,2,2295.40289450781,2,2,46.60077137359394,0.0203017829615424,0.0,0.0,1.0203017829615424,1.0,0.0056539997458457,0.0057621896266936,257.09191451221704
0,3,1,0.6037680925672501,93.20100922967488,105.02,1,0.73,2,1552,1239.7185864004657,1477.5515827140373,0,1,1239.7185865245376,1,1,237.8329963135716,0.1918443418712644,1.240719029738102e-07,1.0008069922872908e-10,1.1918443418712643,1.0000000001000806,0.0007257312536239,0.0007879436016082,167.36660787463188
0,3,1,0.5318234539244251,96.91109640659752,116.62,1,0.73,2,1590,1251.6015853219892,1501.9740867654698,0,1,1251.6015853219892,1,1,250.3725014434806,0.2000416940819624,0.0,0.0,1.2000416940819625,1.0,0.0007056891918182,0.0007662698626517,115.66335451602936
0,5,1,0.8106190261800442,75.16522928030801,76.92,1,0.936,2,1469,1304.2406252949763,1329.9151689367654,1,1,1329.9151689367654,1,1,25.674543641789118,0.0196854346842496,25.674543641789118,0.0196854346842496,1.0196854346842497,1.0196854346842497,0.0009231716394423,0.0010467171669004,255.3640356659889
1,27,1,0.6609279860507886,17.498361999410548,17.74,1,0.844,2,1573,1305.574496877633,1329.0113025839764,1,1,1329.0113025839764,1,1,23.43680570634342,0.0179513354177751,23.43680570634342,0.0179513354177751,1.0179513354177752,1.0179513354177752,0.0124237090349196,0.0124376416206358,198.96667461842296
0,9,1,0.7409065405703484,56.933076961168624,48.5,1,0.91,2,1580,1305.1264339294023,1307.1264339294023,1,1,1307.1264339294023,1,1,2.0,0.0015324185826031,2.0,0.0015324185826031,1.0015324185826031,1.0015324185826031,0.0015848204493522,0.0015903636813163,210.26625555753708
0,2,1,0.8006486360661366,87.31659669669335,99.32,1,0.534,2,1301,1192.0789567166378,1192.0789567166378,1,1,1192.0789567166378,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0005103945732115,0.0005200654268263,31.334748275578026
0,3,1,0.7475858906826807,93.36472175749668,88.46,1,0.93,2,1442,1292.185987164838,1293.1849871658378,1,1,1293.1849871658378,1,1,0.9990000009997856,0.0007731085237905,0.9990000009997856,0.0007731085237905,1.0007731085237903,1.0007731085237903,0.0006398037075995,0.0006418749690054,218.1661302819848
1,14,1,0.793950255916646,45.1915485141477,45.48,1,0.8,2,1250,2312.238169181406,2375.655412246073,1,2,2312.835075980688,2,2,63.41724306466676,0.0274267780499091,0.5969067992818964,0.0002581510880832,1.0274267780499091,1.0002581510880832,0.0029800981283187,0.0030536651611327,157.5289860367775
0,7,1,0.8310307148445212,96.45151576906612,81.34,1,0.898,2,1470,1299.3605958138885,1338.00406691463,1,1,1338.00406691463,1,1,38.64347110074141,0.0297403747852889,38.64347110074141,0.0297403747852889,1.029740374785289,1.029740374785289,0.0019116327166556,0.0019243881106376,201.21455645561213
0,7,1,0.7046253595009561,76.37272457148394,74.8,1,0.926,2,1418,1305.574496877633,1325.8943919856024,1,1,1325.8943919856024,1,1,20.319895107969387,0.0155639491707028,20.319895107969387,0.0155639491707028,1.015563949170703,1.015563949170703,0.0012544989585876,0.0012597516179084,224.8745243921876
1,17,1,0.6860612012848949,24.799256936183667,24.42,1,0.862,2,1500,1301.2436252799764,1325.723391266462,1,1,1325.723391266462,1,1,24.47976598648552,0.0188125924391894,24.47976598648552,0.0188125924391894,1.018812592439189,1.018812592439189,0.0047853216528892,0.0047919824719428,204.6592852026224
1,33,1,0.6920012893767286,11.042819891821146,11.5,1,0.824,2,1265,2307.9476647948804,2351.7036867450274,1,2,2308.8176214965742,2,2,43.75602195014699,0.0189588449589197,0.869956701693809,0.0003769395272535,1.0189588449589198,1.0003769395272537,0.0137390345335005,0.0138148590922354,236.0453024804592
0,7,1,0.6102736903057155,58.7840694535487,65.9,1,0.854,2,1272,2291.860779414521,2317.164286654003,1,2,2294.4608166966023,2,2,25.30350723948186,0.0110405952520143,2.6000372820813027,0.0011344656296031,1.0110405952520145,1.001134465629603,0.0034106522798538,0.0035151988267898,226.9705658629537
1,13,1,0.6939826217812111,31.087495940307587,34.44,1,0.83,2,1519,1302.7998864921394,1362.0373985329077,1,1,1362.0373985329077,1,1,59.23751204076825,0.0454693868605319,59.23751204076825,0.0454693868605319,1.045469386860532,1.045469386860532,0.0025068670511244,0.0025125145912169,154.5571172386408
0,3,1,0.7367617497652205,79.2406036414072,85.58,1,0.61,2,1448,1289.2383207762734,1362.6963437860056,1,1,1362.6963437860056,1,1,73.45802300973219,0.0569778463965466,73.45802300973219,0.0569778463965466,1.056977846396547,1.056977846396547,0.0009372383356093,0.0009336918592452,66.14168163388968
1,24,1,0.6178789675927645,15.338201818266338,15.82,1,0.84,2,1504,1307.1264339294023,1307.1264339294023,1,1,1307.1264339294023,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0078159421682357,0.0078216418623923,186.2570635005832
1,29,1,0.7936524956684399,15.94668347173784,15.38,1,0.81,2,1292,2305.105833332316,2326.300254655447,1,2,2305.6788859379703,2,2,21.194421323131337,0.0091945545478457,0.5730526056545386,0.0002486014296472,1.0091945545478458,1.0002486014296472,0.0095679238438605,0.0096257030963897,580.1260107755661
0,2,1,0.6669920368647387,98.03635151458114,109.0,1,0.858,2,1456,1265.0734017236446,1281.275397555411,1,1,1281.275397555411,1,1,16.201995831766453,0.0128071587069109,16.201995831766453,0.0128071587069109,1.012807158706911,1.012807158706911,0.0004833340644835,0.0004896447062491,179.4661060795188
1,14,1,0.6258028002746063,39.68964614254984,44.08,1,0.97,2,1455,1307.570496893633,1322.7954462914013,1,1,1322.7954462914013,1,1,15.22494939776834,0.011643692966412,15.22494939776834,0.011643692966412,1.011643692966412,1.011643692966412,0.0030015781521796,0.0030087232589721,250.3348430916667
0,6,1,0.792594821028178,85.77334913432587,72.36,1,0.908,2,1558,1306.1254339304023,1306.1254339304023,1,1,1306.1254339304023,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0014431029558181,0.0014415532350539,199.515015527606
1,17,1,0.6745286593979553,21.6830689107612,24.56,1,0.816,2,1337,1305.5744967469757,1317.6704868956324,1,1,1317.6704868956324,1,1,12.09599014865671,0.0092648793146584,12.09599014865671,0.0092648793146584,1.0092648793146586,1.0092648793146586,0.0040258318185805,0.0040330067276953,138.81654285639524
0,7,1,0.7443776871091774,82.3998340597398,78.66,1,0.91,2,1605,1303.6828087882775,1331.3573525605352,1,1,1331.3573525605352,1,1,27.67454377225772,0.0212279732352842,27.67454377225772,0.0212279732352842,1.0212279732352842,1.0212279732352842,0.0013259276747703,0.0013355836272239,210.33348527550697
0,8,1,0.63208445980283,47.522111867361545,59.74,1,0.902,2,1247,2305.6694696980103,2363.755782973637,1,2,2305.744231582691,2,2,58.08631327562671,0.025192818848937,0.0747618846808109,3.242523946444197e-05,1.025192818848937,1.0000324252394643,0.0020223632454871,0.0020977780222892,326.2237038165331
0,4,1,0.6435019776481411,78.47977551685334,81.58,1,0.708,2,1328,1299.255624909959,1303.239625295976,1,1,1303.239625295976,1,1,3.984000386017215,0.0030663714742765,3.984000386017215,0.0030663714742765,1.0030663714742765,1.0030663714742765,0.0007123351097106,0.0007123351097106,75.7429473772645
1,28,1,0.7430421573042406,15.834519299779448,15.7,1,0.812,2,1490,1307.570496893633,1316.6514903336956,1,1,1316.6514903336956,1,1,9.080993440062684,0.0069449360180856,9.080993440062684,0.0069449360180856,1.0069449360180855,1.0069449360180855,0.0092589333653449,0.0092611610889434,167.48329531401396
1,23,1,0.8290776872600496,22.86847492051785,19.44,1,0.808,2,1594,1307.570496893633,1332.1461654992895,1,1,1332.1461654992895,1,1,24.57566860565657,0.0187949090806503,24.57566860565657,0.0187949090806503,1.0187949090806503,1.0187949090806503,0.0063263550400733,0.0063308030366897,162.84327948093414
0,7,1,0.7424767861045565,55.114636864136216,53.36,1,0.822,2,1543,1301.9307570035753,1330.3064187822656,1,1,1330.3064187822656,1,1,28.3756617786903,0.0217950621613683,28.3756617786903,0.0217950621613683,1.0217950621613685,1.0217950621613685,0.001178205013275,0.0011835321784018,157.8785599246621
0,7,1,0.6309758025405828,56.77330524470131,63.7,1,0.906,2,1400,1290.2513198004394,1290.2513198004394,1,1,1290.2513198004394,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0015170499682425,0.0015102997422217,192.02808762341732
0,5,1,0.6898493270091359,97.24546016432124,97.64,1,0.746,2,1505,1293.802794282288,1293.802794282288,1,1,1293.802794282288,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0007521733641623,0.0007568076252936,109.70921944081783
0,6,1,0.6856894728001945,78.661804757697,79.94,1,0.854,2,1312,1282.8354516613938,1296.8215254412137,1,1,1296.8215254412137,1,1,13.98607377981989,0.0109024690280476,13.98607377981989,0.0109024690280476,1.0109024690280477,1.0109024690280477,0.0028590634465217,0.0028613656759261,140.5102599710226
0,8,1,0.6612083692136954,82.98002750043595,80.62,1,0.79,2,1251,2294.027905636427,2336.25139591703,1,2,2294.027905636427,2,2,42.22349028060307,0.0184058311482872,0.0,0.0,1.0184058311482873,1.0,0.0017444416880606,0.0018188953399657,225.90118747204545
0,3,1,0.849309519841127,91.03851404484192,88.36,1,0.676,2,1488,1254.6300644904716,1312.047387338842,1,1,1312.047387338842,1,1,57.41732284837053,0.0457643447845232,57.41732284837053,0.0457643447845232,1.0457643447845233,1.0457643447845233,0.0007053688168524,0.0007115453481673,84.45068900287151
1,10,1,0.7837814947810131,63.11276883771203,67.02,1,0.846,2,1257,2297.4108155405847,2337.850289930329,1,2,2297.4108155405843,2,2,40.43947438974419,0.0176021955308105,-4.547473508864641e-13,-1.979390659303836e-16,1.0176021955308103,0.9999999999999998,0.0020860880613326,0.0021871551871299,227.36736596375704
0,8,1,0.5081564854092935,35.81246388327103,46.88,1,0.808,2,1589,1301.6064955977265,1349.3137126144102,1,1,1349.3137126144102,1,1,47.70721701668367,0.0366525652553504,47.70721701668367,0.0366525652553504,1.0366525652553504,1.0366525652553504,0.0033389031887054,0.0033733397722243,154.72463923692703
0,6,1,0.7391851690629331,81.13339418914558,70.8,1,0.892,2,1580,1295.4893733287895,1326.268759650685,1,1,1326.268759650685,1,1,30.77938632189557,0.0237588875336022,30.77938632189557,0.0237588875336022,1.0237588875336023,1.0237588875336023,0.0010346323251723,0.0010400637984275,203.82954828441143
1,24,1,0.6625873035892598,14.815681660818122,17.94,1,0.846,2,1373,1305.682808918746,1328.2105293744266,1,1,1328.2105293744266,1,1,22.527720455680537,0.0172535935234806,22.527720455680537,0.0172535935234806,1.0172535935234808,1.0172535935234808,0.0076294019818305,0.0076824575662612,178.83280211687088
1,11,1,0.5955373670777974,34.02870036308384,40.66,1,0.82,2,1452,1291.754458221331,1291.754458221331,1,1,1291.754458221331,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.002001792192459,0.0020049139857291,146.93210185319185
0,8,1,0.635645712360423,79.44083289461082,79.82,1,0.858,2,1342,1294.269413200372,1294.269413200372,1,1,1294.269413200372,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0010317936539649,0.0010367408394812,141.1386597007513
0,8,1,0.6881463927913735,40.306876615713975,39.44,1,0.884,2,1430,1302.7998864921394,1302.7998864921394,1,1,1302.7998864921394,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.00138720870018,0.0013906732201576,180.8954142779112
1,21,1,0.735370922752721,20.130750423426303,21.28,1,0.832,2,1614,1300.1614326344957,1603.6108072751915,0,1,1302.1414336744106,1,1,303.44937464069585,0.2333936133037121,1.980001039914896,0.0015228886123032,1.2333936133037122,1.001522888612303,0.0049088746309279,0.0049588829278945,187.61347199976444
1,38,1,0.7608778528713925,10.754934458420436,11.72,1,0.824,2,1365,1307.1264339294023,1322.7954462914013,1,1,1322.7954462914013,1,1,15.669012361998966,0.0119873731838593,15.669012361998966,0.0119873731838593,1.0119873731838591,1.0119873731838591,0.0135633721947669,0.0135615393519401,176.5938033759594
