Hom,medLongSeg,CV,nSeg,nSegNum,Base,BaseNum,L,Lprop,gurobiMinMax,gurobiT1,gurobiT2,greedyMinMax,greedyT1,greedyT2,improvedMinMax,improvedT1,improvedT2,errorGreedyAbs,errorGreedy,errorImprovedAbs,errorImproved,kGreedy,kImproved
0,10,0.2,0,16,0,0.727109515,1,0.552824243,1461.980373,1,1,1581.744709,1,1,1581.744709,1,1,119.7643362,0.08191925,119.7643362,0.08191925,1.08191925,1.08191925
0,10,0.2,0,15,0,0.218987342,0,0.130402613,1620.95228,1,1,1707.600765,1,1,1625.621603,2,1,86.64848503,0.053455297,4.669322516,0.002880605,1.053455297,1.002880605
0,10,0.2,0,15,1,1.521968366,1,0.71297606,2263.844362,1,1,2388.562287,1,1,2388.562287,1,1,124.7179248,0.05509121,124.7179248,0.05509121,1.05509121,1.05509121
0,10,0.2,0,16,1,1.183708839,1,0.727503907,2004.940544,1,1,2122.851007,1,1,2122.851007,1,1,117.9104631,0.058809955,117.9104631,0.058809955,1.058809955,1.058809955
0,10,0.2,0,16,1,1.259109312,0,0.132625718,3012.122495,2,2,3092.763387,1,2,3043.446332,2,2,80.64089212,0.026772116,31.32383678,0.010399257,1.026772116,1.010399257
0,10,0.2,0,19,1,1.477093207,0,0.063427034,4269.948027,2,2,4476.190229,1,2,4324.085655,2,2,206.2422022,0.048300869,54.13762802,0.012678756,1.048300869,1.012678756
0,10,0.2,0,18,1,1.106430155,0,0.22004019,2774.241409,1,1,2837.771936,1,1,2837.771936,1,1,63.53052687,0.022900144,63.53052687,0.022900144,1.022900144,1.022900144
0,10,0.2,0,17,0,0.385273973,1,0.927458691,1276.730136,1,1,1803.168558,0,1,1283.274433,1,1,526.4384221,0.412333356,6.544296781,0.005125826,1.412333356,1.005125826
0,10,0.2,0,18,1,1.004213483,1,0.408437498,2107.137753,1,1,2422.180656,1,1,2422.180656,1,1,315.0429029,0.149512248,315.0429029,0.149512248,1.149512248,1.149512248
0,10,0.2,0,18,0,0.345303867,1,0.444203208,1538.892724,1,1,1884.396689,0,1,1544.781045,1,1,345.5039654,0.224514653,5.888320758,0.003826336,1.224514653,1.003826336
0,10,0.2,0,18,1,1.270967742,0,0.004640302,4716.2865,2,2,4980.815113,1,2,4740.858225,2,2,264.5286135,0.056088326,24.57172534,0.005209973,1.056088326,1.005209973
0,10,0.2,0,17,0,0.333333333,1,0.650203289,977.104125,1,1,1682.189432,0,1,995.5724627,1,1,705.0853071,0.721607134,18.4683377,0.018901095,1.721607134,1.018901095
0,10,0.2,0,18,0,0.017241379,0,0.202172581,1392.258922,1,1,1402.268966,1,1,1392.26969,2,1,10.01004361,0.007189786,0.010768386,7.73E-06,1.007189786,1.000007734
0,10,0.2,0,19,0,0.371567044,1,0.390597635,1351.772866,1,1,1492.052423,1,1,1492.052423,1,1,140.2795563,0.103774502,140.2795563,0.103774502,1.103774502,1.103774502
0,10,0.2,0,18,0,0.773109244,1,0.56106219,2171.604172,1,1,2429.239498,1,1,2429.239498,1,1,257.6353259,0.118638253,257.6353259,0.118638253,1.118638253,1.118638253
0,10,0.2,0,18,0,0.436906377,0,0.323180438,1620.240829,1,1,1815.443454,1,1,1815.443454,1,1,195.2026254,0.120477538,195.2026254,0.120477538,1.120477538,1.120477538
0,10,0.2,0,17,0,0.38372093,1,0.438999453,1309.522624,1,1,1479.807076,1,1,1479.807076,1,1,170.2844522,0.130035518,170.2844522,0.130035518,1.130035518,1.130035518
0,10,0.2,0,16,0,0.735257215,1,0.938744055,2025.216618,1,1,2455.412996,0,1,2038.030669,1,1,430.1963782,0.212419933,12.8140508,0.006327249,1.212419933,1.006327249
0,10,0.2,0,17,1,1.326440177,1,0.911548891,2445.245506,1,1,2721.872933,1,1,2721.872933,1,1,276.6274272,0.113128693,276.6274272,0.113128693,1.113128693,1.113128693
0,10,0.2,0,15,1,1.971717172,1,0.381701033,2434.481923,1,1,2477.676055,1,1,2477.676055,1,1,43.19413217,0.017742638,43.19413217,0.017742638,1.017742638,1.017742638
0,10,0.2,0,16,1,1.003831418,1,0.358351821,1714.574613,1,1,1832.563748,1,1,1832.563748,1,1,117.9891349,0.068815398,117.9891349,0.068815398,1.068815398,1.068815398
0,10,0.2,0,18,1,1.112211221,1,0.452322394,1991.166379,1,1,2074.504366,1,1,2074.504366,1,1,83.33798679,0.041853854,83.33798679,0.041853854,1.041853854,1.041853854
0,10,0.2,0,15,0,0.387225549,1,0.523703099,1104.027171,1,1,1104.027171,1,1,1104.027171,1,1,0,0,0,0,1,1
0,10,0.2,0,16,1,1.056603774,0,0.003058485,4483.077205,2,2,4691.662005,1,2,4493.315298,2,2,208.5848006,0.046527149,10.23809313,0.00228372,1.046527149,1.00228372
0,10,0.2,0,17,0,0.947281713,0,0.150924174,1768.66592,1,1,1830.52083,1,1,1830.52083,1,1,61.85490975,0.034972636,61.85490975,0.034972636,1.034972636,1.034972636
0,10,0.2,0,18,0,0.259044863,1,0.689504542,1442.347097,1,1,1589.908628,1,1,1589.908628,1,1,147.561531,0.102306533,147.561531,0.102306533,1.102306533,1.102306533
0,10,0.2,0,17,1,1.862204724,1,0.455777627,2396.367202,1,1,2396.367202,1,1,2396.367202,1,1,0,0,0,0,1,1
0,10,0.2,0,15,0,0.10619469,1,0.736041494,913.8486877,1,1,1617.780943,0,1,918.3631984,1,1,703.9322551,0.770294103,4.514510777,0.004940108,1.770294103,1.004940108
